DBN,School Name,Grade,Year,Number Tested,# Level 3+4
01M015,P.S. 015 ROBERTO CLEMENTE,3,2019,27,19
01M019,P.S. 019 ASHER LEVY,3,2019,24,16
01M020,P.S. 020 ANNA SILVER,3,2019,57,20
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2019,18,4
01M063,THE STAR ACADEMY - P.S.63,3,2019,32,15
01M064,P.S. 064 ROBERT SIMON,3,2019,26,18
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2019,48,34
01M134,P.S. 134 HENRIETTA SZOLD,3,2019,38,17
01M140,P.S. 140 NATHAN STRAUS,3,2019,17,3
01M142,P.S. 142 AMALIA CASTRO,3,2019,37,19
01M184,P.S. 184M SHUANG WEN,3,2019,49,35
01M188,P.S. 188 THE ISLAND SCHOOL,3,2019,43,8
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,3,2019,37,34
01M361,THE CHILDREN'S WORKSHOP SCHOOL,3,2019,34,23
01M363,NEIGHBORHOOD SCHOOL,3,2019,12,3
01M364,EARTH SCHOOL,3,2019,10,2
02M001,P.S. 001 ALFRED E. SMITH,3,2019,40,20
02M002,P.S. 002 MEYER LONDON,3,2019,69,48
02M003,P.S. 003 CHARRETTE SCHOOL,3,2019,92,73
02M006,P.S. 006 LILLIE D. BLAKE,3,2019,88,82
02M011,P.S. 011 WILLIAM T. HARRIS,3,2019,132,108
02M033,P.S. 033 CHELSEA PREP,3,2019,88,66
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,3,2019,91,84
02M041,P.S. 041 GREENWICH VILLAGE,3,2019,114,93
02M042,P.S. 042 BENJAMIN ALTMAN,3,2019,84,44
02M051,P.S. 051 ELIAS HOWE,3,2019,54,26
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,3,2019,99,94
02M077,P.S. 77 LOWER LAB SCHOOL,3,2019,63,61
02M089,P.S. 89,3,2019,46,42
02M111,P.S. 111 ADOLPH S. OCHS,3,2019,71,40
02M116,P.S. 116 MARY LINDLEY MURRAY,3,2019,58,45
02M124,P.S. 124 YUNG WING,3,2019,99,87
02M126,P.S. 126 JACOB AUGUST RIIS,3,2019,53,18
02M130,P.S. 130 HERNANDO DE SOTO,3,2019,115,89
02M150,P.S. 150,3,2019,26,22
02M151,YORKVILLE COMMUNITY SCHOOL,3,2019,61,44
02M158,P.S. 158 BAYARD TAYLOR,3,2019,107,94
02M183,P.S. 183 ROBERT L. STEVENSON,3,2019,77,64
02M198,P.S. 198 ISADOR E. IDA STRAUS,3,2019,83,61
02M212,P.S. 212 MIDTOWN WEST,3,2019,47,42
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,3,2019,65,53
02M225,ELLA BAKER SCHOOL,3,2019,27,19
02M234,P.S. 234 INDEPENDENCE SCHOOL,3,2019,107,76
02M276,BATTERY PARK CITY SCHOOL,3,2019,83,66
02M281,THE RIVER SCHOOL,3,2019,33,29
02M290,P.S. 290 MANHATTAN NEW SCHOOL,3,2019,90,78
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,3,2019,42,27
02M343,THE PECK SLIP SCHOOL,3,2019,66,53
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,3,2019,9,8
02M397,SPRUCE STREET SCHOOL,3,2019,55,48
02M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,3,2019,67,52
03M009,P.S. 009 SARAH ANDERSON,3,2019,112,94
03M075,P.S. 075 EMILY DICKINSON,3,2019,72,43
03M076,P.S. 076 A. PHILIP RANDOLPH,3,2019,31,9
03M084,P.S. 084 LILLIAN WEBER,3,2019,83,57
03M087,P.S. 087 WILLIAM SHERMAN,3,2019,158,123
03M149,P.S. 149 SOJOURNER TRUTH,3,2019,27,9
03M163,P.S. 163 ALFRED E. SMITH,3,2019,73,49
03M165,P.S. 165 ROBERT E. SIMON,3,2019,66,32
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN,3,2019,110,98
03M180,P.S. 180 HUGO NEWMAN,3,2019,42,12
03M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING,3,2019,59,19
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,3,2019,35,15
03M199,P.S. 199 JESSIE ISADOR STRAUS,3,2019,150,140
03M241,STEM INSTITUTE OF MANHATTAN,3,2019,22,3
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,3,2019,12,1
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,3,2019,80,59
03M334,THE ANDERSON SCHOOL,3,2019,57,56
03M452,P.S. 452,3,2019,42,34
03M859,SPECIAL MUSIC SCHOOL,3,2019,15,15
04M007,P.S. 007 SAMUEL STERN,3,2019,21,11
04M012,TAG YOUNG SCHOLARS,3,2019,59,58
04M037,RIVER EAST ELEMENTARY,3,2019,34,6
04M038,P.S. 38 ROBERTO CLEMENTE,3,2019,44,11
04M057,JAMES WELDON JOHNSON,3,2019,71,24
04M072,THE LEXINGTON ACADEMY,3,2019,56,10
04M083,P.S. 083 LUIS MUNOZ RIVERA,3,2019,57,35
04M096,P.S. 096 JOSEPH LANZETTA,3,2019,30,12
04M102,P.S. 102 JACQUES CARTIER,3,2019,32,18
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL C,3,2019,27,12
04M146,P.S. 146 ANN M. SHORT,3,2019,60,23
04M155,P.S. 155 WILLIAM PACA,3,2019,37,7
04M171,P.S. 171 PATRICK HENRY,3,2019,72,64
04M182,THE BILINGUAL BICULTURAL SCHOOL,3,2019,50,26
04M206,P.S. 206 JOSE CELSO BARBOSA,3,2019,67,34
04M375,MOSAIC PREPARATORY ACADEMY,3,2019,34,6
04M497,CENTRAL PARK EAST I,3,2019,9,6
04M964,CENTRAL PARK EAST II,3,2019,33,18
05M030,P.S. 030 HERNANDEZ/HUGHES,3,2019,36,19
05M036,P.S. 036 MARGARET DOUGLAS,3,2019,45,21
05M046,P.S. 046 ARTHUR TAPPAN,3,2019,57,12
05M092,P.S. 092 MARY MCLEOD BETHUNE,3,2019,35,19
05M123,P.S. 123 MAHALIA JACKSON,3,2019,54,7
05M125,P.S. 125 RALPH BUNCHE,3,2019,29,14
05M129,P.S. 129 JOHN H. FINLEY,3,2019,30,10
05M133,P.S. 133 FRED R MOORE,3,2019,16,7
05M154,P.S. 154 HARRIET TUBMAN,3,2019,35,15
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,3,2019,65,29
05M175,P.S. 175 HENRY H GARNET,3,2019,40,13
05M194,P.S. 194 COUNTEE CULLEN,3,2019,42,1
05M197,P.S. 197 JOHN B. RUSSWURM,3,2019,40,17
05M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,3,2019,50,22
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,3,2019,34,24
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL,3,2019,34,22
06M004,P.S. 004 DUKE ELLINGTON,3,2019,59,28
06M005,P.S. 005 ELLEN LURIE,3,2019,85,23
06M008,P.S. 008 LUIS BELLIARD,3,2019,74,21
06M018,P.S. 018 PARK TERRACE,3,2019,35,15
06M028,P.S. 028 WRIGHT BROTHERS,3,2019,75,29
06M048,P.S. 048 P.O. MICHAEL J. BUCZEK,3,2019,78,31
06M098,P.S. 098 SHORAC KAPPOCK,3,2019,59,16
06M103,DOS PUENTES ELEMENTARY SCHOOL,3,2019,58,28
06M115,P.S. 115 ALEXANDER HUMBOLDT,3,2019,58,22
06M128,P.S. 128 AUDUBON,3,2019,86,46
06M132,P.S. 132 JUAN PABLO DUARTE,3,2019,48,10
06M152,P.S. 152 DYCKMAN VALLEY,3,2019,66,22
06M153,P.S. 153 ADAM CLAYTON POWELL,3,2019,88,42
06M173,P.S. 173,3,2019,72,33
06M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,3,2019,30,12
06M187,P.S./I.S. 187 HUDSON CLIFFS,3,2019,77,58
06M189,P.S. 189,3,2019,101,39
06M192,P.S. 192 JACOB H. SCHIFF,3,2019,41,26
06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR C,3,2019,42,26
06M278,PAULA HEDBAVNY SCHOOL,3,2019,56,24
06M311,AMISTAD DUAL LANGUAGE SCHOOL,3,2019,41,20
06M314,MUSCOTA,3,2019,47,37
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,3,2019,31,11
06M366,WASHINGTON HEIGHTS ACADEMY,3,2019,37,34
06M368,HAMILTON HEIGHTS SCHOOL,3,2019,30,12
06M513,CASTLE BRIDGE SCHOOL,3,2019,8,6
07X001,P.S. 001 COURTLANDT SCHOOL,3,2019,88,30
07X005,P.S. 5 PORT MORRIS,3,2019,53,26
07X018,P.S. 018 JOHN PETER ZENGER,3,2019,94,33
07X025,P.S. 025 BILINGUAL SCHOOL,3,2019,61,32
07X029,P.S./M.S. 029 MELROSE SCHOOL,3,2019,86,24
07X030,P.S. 030 WILTON,3,2019,84,20
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,3,2019,57,25
07X043,P.S. 043 JONAS BRONCK,3,2019,50,22
07X049,P.S. 049 WILLIS AVENUE,3,2019,91,43
07X065,P.S. 065 MOTHER HALE ACADEMY,3,2019,59,16
07X154,P.S. 154 JONATHAN D. HYATT,3,2019,49,36
07X157,P.S. 157 GROVE HILL,3,2019,89,46
07X161,P.S. 161 JUAN PONCE DE LEON SCHOOL,3,2019,52,27
07X179,P.S. 179,3,2019,58,25
07X277,P.S. 277,3,2019,44,20
07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,3,2019,53,49
07X369,YOUNG LEADERS ELEMENTARY SCHOOL,3,2019,37,20
08X014,P.S. X014 SENATOR JOHN CALANDRA,3,2019,91,65
08X036,P.S. 036 UNIONPORT,3,2019,102,61
08X048,P.S. 048 JOSEPH R. DRAKE,3,2019,96,20
08X062,P.S. 062 INOCENSIO CASANOVA,3,2019,99,44
08X069,P.S. 069 JOURNEY PREP SCHOOL,3,2019,104,80
08X071,P.S. 071 ROSE E. SCALA,3,2019,164,88
08X072,P.S. 072 DR. WILLIAM DORNEY,3,2019,91,52
08X075,P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,3,2019,84,38
08X093,P.S. 093 ALBERT G. OLIVER,3,2019,36,10
08X100,P.S. 100 ISAAC CLASON,3,2019,88,29
08X107,P.S. 107,3,2019,81,34
08X119,THE DR. EMMETT W. BASSETT SCHOOL,3,2019,125,46
08X130,P.S. 130 ABRAM STEVENS HEWITT,3,2019,57,19
08X138,P.S. 138 SAMUEL RANDALL,3,2019,105,37
08X140,P.S. X140 THE EAGLE SCHOOL,3,2019,73,25
08X146,P.S. 146 EDWARD COLLINS,3,2019,45,18
08X152,P.S. 152 EVERGREEN,3,2019,123,47
08X182,P.S. 182,3,2019,131,60
08X304,P.S. 304 EARLY CHILDHOOD SCHOOL,3,2019,79,57
08X333,THE LONGWOOD ACADEMY OF DISCOVERY,3,2019,64,10
08X392,BRONX DELTA SCHOOL,3,2019,47,23
09X004,P.S./M.S. 004 CROTONA PARK WEST,3,2019,48,24
09X011,P.S. 011 HIGHBRIDGE,3,2019,86,24
09X028,P.S. 028 MOUNT HOPE,3,2019,79,35
09X035,P.S. 035 FRANZ SIEGEL,3,2019,90,31
09X042,P.S. 042 CLAREMONT,3,2019,49,19
09X053,P.S. 053 BASHEER QUISIM,3,2019,142,73
09X055,P.S. 055 BENJAMIN FRANKLIN,3,2019,68,30
09X058,P.S. 058,3,2019,69,24
